Year,Q_Cu,Q_Co,Q_Li,Q_Ni,P_Cu,P_Co,P_Li,P_Ni,QR_Cu,QR_Ni,QR_Ni_c,PL_Cu,P_Bar,P_Cof,P_Cot,Y,Y_F,R_Equ,Y_IP,S_Cu
1840,41312.33333, , , ,16788.84054,#N/A,"",68382.1957,37900,,,14161.33107,,,,"879,793",,,,
1841,44526.66667, , , ,17082.60002,#N/A,"",84720.75926,41100,,,14830.59603,,,,"883,169",,,,
1842,45041, , , ,16779.15439,#N/A,"",108915.4996,41600,,,13664.54685,,,,"875,209",,,,
1843,46355.33333, , , ,17085.91345,#N/A,"",140045.6444,42900,,,14192.21434,,,,"888,671",,,,
1844,47069.66667, , , ,17293.41156,#N/A,"",158320.2887,43600,,,14332.5729,,,,"903,579",,,,
1845,49384, , , ,17365.81037,#N/A,"",176196.0323,45900,,,14892.64568,,,,"901,973",,,,
1846,50198.33333, , , ,18340.7683,#N/A,"",193685.7949,46700,,,15289.96786,,,,"908,728",,,,
1847,49012.66667, , , ,16910.77882,#N/A,"",197857.9653,45500,,,14771.31563,,,,"933,745",,,,
1848,52827, , , ,16389.18089,#N/A,"",225176.6519,49300,,,14262.73807,,,,"920,578",,,,
1849,51241.33333, , , ,17049.1649,#N/A,"",251861.8367,47700,,,13783.11691,,,,"931,210",,,,
1850,56655.66667, , ,100,16688.22853,#N/A,"",231980.7136,53100,,0,14130.53613,116.8384226,138.9906694,134.8133835,"935,889",,,,
1851,51370, , ,100,12864.11134,#N/A,"",222117.651,47800,,0,14492.51367,126.4721324,120.2754219,111.4911274,"948,336",,,,
1852,58684.33333, , ,100,16866.47397,#N/A,"",205031.9874,55100,,0,16288.57477,143.7136162,112.3801728,110.3003009,"973,927",,,,
1853,53898.66667, , ,103,16866.47397,#N/A,"",190318.742,50300,,0.03,19488.96922,166.8283937,115.685472,107.0561744,"979,975",,,,
1854,66113, , ,90.5,15519.64251,#N/A,"",161582.9446,62500,,-0.121359223,19376.11617,166.4530656,123.1751825,86.56716418,"1,004,247",,,,
1855,72427.33333, , ,123,18502.04636,#N/A,"",143804.6493,68800,,0.359116022,18830.38613,156.7455104,116.6932332,92.78666334,"1,014,510",,,,
1856,79741.66667, , ,234,18862.18352,#N/A,"",133197.1719,76100,,0.902439024,18258.22848,188.184438,129.5058045,112.3288666,"1,049,734",,,,
1857,78156, , ,145,16969.29611,#N/A,"",116392.263,74500,,-0.38034188,18509.46699,187.2946771,128.7582038,126.3752161,"1,079,216",,,,
