Year,cobalt_unit_value_usd_t,cobalt_world_mine_production,graphite_unit_value_usd_t,graphite_world_production,lithium_unit_value_usd_t,lithium_world_production_lithium_content,manganese_unit_value_usd_t,manganese_world_production,nickel_unit_value__usd_t,nickel_world_production,gdp_billions_usd,gdp_billions_of_chained_2017,new_vehicle_cpi_index_1982-1984
1935,2530,2000,35,145000,,,31,1800000,772,77400,74,1059,20
1936,2780,2720,28,150000,2800,,27,2340000,772,93400,85,1195,20
1937,3140,3800,29,159000,,,27,2740000,772,120000,93,1257,21
1938,3030,4500,25,177000,,,35,2380000,772,115000,87,1215,22
1939,3100,4500,22,222000,,,35,1110000,772,122000,93,1312,21
1940,2620,5000,32,254000,,,32,2540000,772,140000,103,1428,21
1941,2600,4000,54,231000,,,34,2450000,772,162000,129,1681,23
1947,2920,5000,38,122000,,,51,1750000,772,140000,250,2185,34
1948,3040,6100,43,163000,,,53,1830000,794,151000,275,2275,37
1949,3550,5900,44,168000,,,58,2160000,882,146000,273,2262,41
1950,3670,7170,53,159000,,,71,2530000,992,145000,300,2459,41
1951,4420,8440,61,195000,,,73,3180000,1190,132000,347,2656,43
1952,5000,10100,74,177000,2380,,84,4440000,1260,146000,367,2765,47
1953,5070,11300,61,168000,1870,,97,4940000,1320,198000,389,2894,47
1954,5470,13100,62,168000,2200,,89,4500000,1350,216000,391,2878,47
1955,5460,13300,54,272000,2130,,82,4870000,1460,239000,426,3083,45
1956,5570,14400,60,263000,2130,,96,5310000,1430,259000,449,3149,46
1957,4410,14400,56,372000,1720,,121,5820000,1630,286000,474,3215,49
1958,4360,12600,49,318000,1610,,109,5580000,1630,224000,481,3191,50
1959,3930,14800,46,372000,1610,,102,5830000,1630,285000,522,3412,52
1960,3390,14200,40,435000,1630,,95,6120000,1630,320000,542,3500,52
1961,3280,14400,50,413000,1480,,103,6110000,1720,361000,562,3590,52
1962,3210,17100,56,535000,1190,,88,6400000,1760,357000,604,3810,51
1963,3180,14500,43,679000,1170,,75,6630000,1740,339000,638,3976,51
1964,3190,17800,45,620000,1170,,79,7240000,1740,371000,685,4205,51
1965,3480,19000,45,607000,992,,77,7980000,1740,425000,742,4479,50
1966,3420,21800,50,484000,1060,,81,8150000,1740,412000,813,4774,49
1967,4370,20500,46,358000,970,,79,7510000,1940,449000,860,4905,49
1968,4500,19600,41,437000,992,,71,7800000,2090,497000,941,5146,51
1969,4070,20200,46,376000,1010,,65,8420000,2320,487000,1018,5307,52
1970,4880,24200,50,393000,1150,,68,8200000,2840,628000,1073,5316,53
1971,4810,25100,52,394000,1120,,73,9070000,2930,637000,1165,5491,55
1972,5230,24800,61,361000,1160,,87,9080000,3090,611000,1279,5780,55
1973,6480,29400,59,395000,1220,,97,9740000,3370,710000,1425,6106,55
1974,7520,30900,73,497000,1740,,160,9270000,3840,770000,1545,6073,58
1975,9280,30800,93,451000,1720,,211,9810000,4560,802000,1685,6061,63
1976,9410,21400,91,449000,1830,,246,10000000,4960,792000,1873,6387,67
1977,11900,21500,101,493000,1940,,269,8690000,5000,828000,2082,6683,71
1978,22000,26800,129,534000,2110,,288,8690000,4500,658000,2352,7053,76
1979,53300,29900,169,626000,2260,,318,9800000,5860,686000,2627,7276,82
1980,51600,31300,294,597000,2660,,354,9670000,6230,779000,2857,7257,89
1981,36900,30700,321,589000,3110,,361,8400000,5970,726000,3207,7442,94
1982,25300,24600,325,562000,3110,,444,8580000,4810,621000,3344,7307,98
1983,14900,37900,302,604000,3260,,363,7780000,4670,673000,3634,7642,100
1984,19000,40900,276,625000,3400,,403,8600000,4770,773000,4038,8195,103
1985,23800,47400,338,584000,3310,,394,8690000,4980,813000,4339,8537,106
1986,16200,50200,406,625000,3310,,375,8830000,3880,852000,4580,8833,111
1987,14700,41200,407,643000,3420,,394,8340000,4840,891000,4855,9138,114
1988,16200,43800,431,575000,3590,,487,8650000,13800,952000,5236,9519,117
1989,17300,42900,541,1010000,3810,,607,9250000,13300,987000,5642,9869,119
