Year,Production,Imports,Exports,Estimated consumption,Unit value ($/t),Unit value (98$/t),World production (gross weight),World production (lithium content),World production (lithium carbonate equivalent)
1900,10.4,NA,NA,10.4,NA,NA,NA,NA,NA
1901,35.0,NA,NA,35.0,NA,NA,NA,NA,NA
1902,24.9,NA,NA,24.9,NA,NA,NA,NA,NA
1903,23.1,NA,NA,23.1,NA,NA,NA,NA,NA
1904,11.5,NA,NA,11.5,NA,NA,NA,NA,NA
1905,1.58,NA,NA,1.58,NA,NA,NA,NA,NA
1906,7.66,NA,NA,7.66,NA,NA,NA,NA,NA
1907,10.6,NA,NA,10.60,NA,NA,NA,NA,NA
1908,4.06,NA,NA,4.06,NA,NA,NA,NA,NA
1909,3.78,NA,NA,3.78,NA,NA,NA,NA,NA
1910,4.76,NA,NA,4.76,NA,NA,NA,NA,NA
1911,10.0,NA,NA,10.0,NA,NA,NA,NA,NA
1912,7.20,NA,NA,7.20,NA,NA,NA,NA,NA
1913,10.6,NA,NA,10.6,NA,NA,NA,NA,NA
1914,10.5,NA,NA,10.5,NA,NA,NA,NA,NA
1915,9.72,NA,NA,9.72,NA,NA,NA,NA,NA
1916,12.4,NA,NA,12.4,NA,NA,NA,NA,NA
1917,41.2,NA,NA,41.2,NA,NA,NA,NA,NA
1918,118,NA,NA,118,NA,NA,NA,NA,NA
1919,126,NA,NA,126,NA,NA,NA,NA,NA
1920,234,NA,NA,234,NA,NA,NA,NA,NA
1921,36.7,NA,NA,36.7,NA,NA,NA,NA,NA
1922,43.8,NA,NA,43.8,NA,NA,NA,NA,NA
1923,46.2,NA,NA,46.2,NA,NA,NA,NA,NA
1924,59.9,NA,NA,59.9,NA,NA,NA,NA,NA
1925,62.8,NA,NA,62.8,NA,NA,"3,730",NA,NA
1926,74.0,NA,NA,74.0,NA,NA,"4,530",NA,NA
1927,83.5,NA,NA,83.5,NA,NA,"5,260",NA,NA
1928,92.0,NA,NA,92.0,NA,NA,"5,970",NA,NA
1929,W,NA,NA,64.0,NA,NA,"3,140",NA,NA
1930,35.9,NA,NA,35.9,NA,NA,"3,030",NA,NA
1931,W,NA,NA,35.2,NA,NA,679,NA,NA
1932,W,NA,NA,34.6,NA,NA,690,NA,NA
1933,10.1,NA,NA,33.9,NA,NA,738,NA,NA
1934,14.4,NA,NA,14.4,NA,NA,"1,200",NA,NA
1935,23.1,NA,NA,23.1,NA,NA,"1,540",NA,NA
1936,24.8,NA,NA,24.8,"2,800","32,900","2,060",NA,NA
1937,27.1,NA,NA,27.1,NA,NA,"3,280",NA,NA
1938,22.3,NA,NA,22.3,NA,NA,"2,510",NA,NA
1939,49.8,NA,NA,49.8,NA,NA,"3,060",NA,NA
1940,52.5,NA,NA,52.5,NA,NA,"3,440",NA,NA
1941,97.1,NA,NA,97.1,NA,NA,"4,400",NA,NA
1942,139,NA,NA,139,NA,NA,"6,990",NA,NA
1943,215,NA,NA,215,NA,NA,"9,180",NA,NA
1944,394,NA,NA,394,NA,NA,"15,600",NA,NA
1945,127,NA,NA,127,NA,NA,"2,830",NA,NA
1946,150,NA,NA,150,NA,NA,"4,540",NA,NA
1947,93,NA,NA,93,NA,NA,"5,350",NA,NA
1948,135,NA,NA,135,NA,NA,"5,450",NA,NA
1949,221,NA,NA,221,NA,NA,"6,270",NA,NA
1950,347,NA,NA,347,NA,NA,"18,000",NA,NA
1951,444,NA,NA,444,NA,NA,"25,200",NA,NA
1952,505,NA,NA,505,"2,380","14,600","25,500",NA,NA
1953,821,NA,NA,821,"1,870","11,400","57,800",NA,NA
1954,"1,140",NA,NA,"1,140","2,200","13,300","93,200",NA,NA
1955,W,NA,NA,"1,250","2,130","13,000","86,000",NA,NA
1956,W,NA,NA,"1,350","2,130","12,800","105,000",NA,NA
1957,W,NA,NA,"1,460","1,720","9,940","111,000",NA,NA
1958,W,NA,NA,"1,560","1,610","9,100","87,800",NA,NA
1959,W,NA,NA,"1,670","1,610","8,990","62,400",NA,NA
1960,W,927,NA,"1,770","1,630","8,960","87,100",NA,NA
1961,W,487,NA,"1,880","1,480","8,040","57,200",NA,NA
1962,W,557,NA,"1,980","1,190","6,400","47,300",NA,NA
1963,W,408,NA,"2,090","1,170","6,220","49,500",NA,NA
