Year, Production,Imports,Exports,Stocks                       ,Reported consumption Mn ore,Reported consumption Mn alloys,Apparent consumption,Unit value ($/t),Unit value (98$/t),World production
1900,"28,000","174,000","9,070",NA,NA,NA,"202,000",23,450,"592,000"
1901,"28,000","76,200","9,070",NA,NA,NA,"104,000",26,510,"429,000"
1902,"19,000","139,000","9,070",NA,NA,NA,"158,000",26,500,"441,000"
1903,"19,000","154,000","9,070",NA,NA,NA,"173,000",43,790,"411,000"
1904,"18,000","81,600","9,070",NA,NA,NA,"99,800",24,430,"416,000"
1905,"29,000","149,000","9,070",NA,NA,NA,"178,000",28,520,"481,000"
1906,"30,000","179,000","9,070",NA,NA,NA,"209,000",48,870,"868,000"
1907,"42,000","193,000","9,070",NA,NA,NA,"235,000",46,810,"1,080,000"
1908,"35,000","158,000","9,070",NA,NA,NA,"193,000",27,480,"641,000"
1909,"42,000","133,000","9,070",NA,NA,NA,"175,000",29,520,"811,000"
1910,"42,000","214,000","7,260",NA,NA,NA,"256,000",30,530,"888,000"
1911,"32,000","193,000","7,260",NA,NA,NA,"225,000",29,510,"719,000"
1912,"32,000","160,000","7,260",NA,NA,NA,"191,000",25,420,"856,000"
1913,"34,000","303,000","7,260",NA,NA,NA,"337,000",28,462,"1,040,000"
1914,"45,000","208,000","7,260",NA,NA,NA,"261,000",27,447,"840,000"
1915,"83,000","155,000",907,NA,NA,NA,"237,000",29,474,"636,000"
1916,"174,000","308,000",907,NA,NA,NA,"481,000",50,744,"850,000"
1917,"284,000","376,000",907,NA,NA,NA,"660,000",47,595,"864,000"
1918,"419,000","301,000","4,540",NA,NA,NA,"716,000",73,797,"934,000"
1919,"127,000","317,000","3,630",NA,NA,NA,"440,000",81,759,"550,000"
1920,"210,000","345,000","2,720",NA,NA,NA,"552,000",57,466,"754,000"
1921,"21,000","203,000",907,NA,"113,000",NA,"223,000",19,169,"523,000"
1922,"135,000","262,000",907,NA,"168,000",NA,"396,000",33,317,"535,000"
1923,"208,000","178,000","3,630",NA,"282,000",NA,"382,000",42,402,"731,000"
1924,"171,000","288,000","2,720",NA,"231,000",NA,"455,000",36,341,"919,000"
1925,"230,000","362,000","4,540",NA,"277,000",NA,"578,000",40,375,"1,170,000"
1926,"212,000","353,000",907,NA,"328,000",NA,"564,000",39,359,"1,370,000"
1927,"188,000","347,000",907,NA,"296,000",NA,"534,000",35,326,"1,430,000"
1928,"134,000","325,000","7,260",NA,"304,000",NA,"452,000",37,352,"1,280,000"
1929,"158,000","385,000",907,NA,"364,000",NA,"542,000",38,364,"1,580,000"
1930,"122,000","269,000","5,440",NA,"366,000",NA,"386,000",33,322,"1,590,000"
1931,"69,000","165,000",907,NA,"215,000",NA,"233,000",26,280,"982,000"
1932,"18,000","61,700","7,260",NA,"68,000",NA,"79,800",35,421,"559,000"
1933,"24,000","181,000","7,260",NA,"175,000",NA,"206,000",39,488,"779,000"
1934,"45,000","192,000","7,260",NA,"219,000",NA,"238,000",29,353,"1,310,000"
1935,"89,000","221,000","7,260",NA,"275,000",NA,"310,000",31,369,"1,800,000"
1936,"123,000","455,000","7,260",NA,"556,000",NA,"578,000",27,319,"2,340,000"
1937,"164,000","482,000","1,810",NA,"642,000",NA,"644,000",27,310,"2,740,000"
1938,"47,000","263,000","7,260",NA,"296,000",NA,"310,000",35,409,"2,380,000"
1939,"139,000","368,000","2,720",NA,"431,000",NA,"504,000",35,415,"1,110,000"
1940,"188,000","639,000","10,900",NA,"627,000","472,000","816,000",32,368,"2,540,000"
1941,"210,000","756,000","3,630",NA,"748,000","531,000","961,000",34,380,"2,450,000"
1942,"285,000","705,000","5,440",NA,"694,000","592,000","990,000",35,346,"2,290,000"
1943,"294,000","663,000","9,070",NA,"695,000","594,000","948,000",36,336,"1,800,000"
1944,"287,000","578,000",907,NA,"696,000","594,000","864,000",44,405,"1,270,000"
1945,"236,000","601,000",907,NA,"652,000","527,000","836,000",49,446,"1,900,000"
1946,"187,000","713,000","11,800",NA,"504,000","415,000","870,000",49,411,"1,650,000"
1947,"184,000","625,000","19,100",NA,"619,000","544,000","790,000",51,375,"1,750,000"
1948,"200,000","708,000","18,100",NA,"665,000","550,000","890,000",53,363,"1,830,000"
1949,"154,000","632,000","7,260","1,520,000","575,000","498,000","797,000",58,398,"2,160,000"
1950,"171,000","877,000","4,000","1,650,000","628,000","619,000","960,000",71,478,"2,530,000"
1951,"224,000","868,000","4,000","1,630,000","796,000","716,000","1,100,000",73,460,"3,180,000"
1952,"190,000","1,180,000","5,000","2,020,000","746,000","651,000","971,000",84,517,"4,440,000"
1953,"244,000","1,550,000","4,000","2,710,000","891,000","760,000","1,120,000",97,588,"4,940,000"
1954,"161,000","967,000","4,000","3,110,000","725,000","582,000","720,000",89,539,"4,500,000"
1955,"239,000","953,000","4,000","3,180,000","885,000","760,000","1,120,000",82,498,"4,870,000"
1956,"224,000","1,070,000","4,000","3,660,000","931,000","700,000","807,000",96,574,"5,310,000"
1957,"233,000","1,540,000","8,000","4,280,000","985,000","761,000","1,150,000",121,704,"5,820,000"
1958,"178,000","1,100,000","4,000","4,680,000","632,000","556,000","865,000",109,612,"5,580,000"
1959,"139,000","1,110,000","4,000","4,970,000","688,000","624,000","963,000",102,570,"5,830,000"
1960,"106,000","1,200,000","5,000","5,160,000","839,000","657,000","977,000",95,523,"6,120,000"
1961,"70,800","1,060,000","6,000","5,520,000","741,000","648,000","764,000",103,563,"6,110,000"
1962,"66,200","980,000","8,170","5,670,000","808,000","675,000","887,000",88,473,"6,400,000"
1963,"85,300","1,020,000","5,440","5,780,000","789,000","755,000","994,000",75,400,"6,630,000"
1964,"71,700","1,040,000","13,600","5,780,000","983,000","862,000","1,100,000",79,415,"7,240,000"
1965,"75,300","1,300,000","11,000","5,900,000","1,230,000","896,000","1,250,000",77,398,"7,980,000"
1966,"79,800","1,310,000","9,070","6,050,000","1,020,000","878,000","1,230,000",81,404,"8,150,000"
1967,"66,200","1,060,000","9,980","6,080,000","1,020,000","823,000","1,090,000",79,387,"7,510,000"
1968,"43,500","955,000","13,600","6,020,000","961,000","850,000","1,040,000",71,333,"7,800,000"
1969,"84,400","1,130,000","12,700","6,030,000","1,000,000","883,000","1,190,000",65,287,"8,420,000"
1970,"59,900","989,000","27,200","5,840,000","1,050,000","822,000","1,200,000",68,284,"8,200,000"
1971,"34,500","1,040,000","27,200","5,830,000","958,000","743,000","1,060,000",73,293,"9,070,000"
1972,"26,300","996,000","17,200","5,600,000","1,030,000","795,000","1,240,000",87,339,"9,080,000"
