Year,Primary production,Secondary production,Imports,Exports,Stocks,Apparent consumption,Unit value  ($/t),Unit value (98$/t),World production
1900,5,NA,"26,100","2,660",NA,"23,600","1,100","22,000","9,290"
1901,3,NA,"53,200","2,660",NA,"50,700","1,240","24,000","11,400"
1902,3,NA,"15,400","1,460",NA,"14,100",992,"19,000","12,200"
1903,52,NA,"16,400","1,100",NA,"15,600",882,"16,000","10,200"
1904,11,NA,"8,950","3,410",NA,"5,800",882,"16,000","10,500"
1905,NA,NA,"14,100","4,330",NA,"10,000",882,"16,000","15,600"
1906,NA,NA,"15,500","4,820",NA,"10,900",882,"16,000","16,000"
1907,W,NA,"8,440","3,980",NA,"4,690",992,"17,000","16,300"
1908,W,NA,"7,630","4,430",NA,"3,470",992,"18,000","14,900"
1909,309,NA,"10,100","5,470",NA,"4,940",882,"16,000","17,000"
1910,W,NA,"14,700","6,910",NA,"8,110",882,"15,000","23,100"
1911,404,NA,"13,500","11,400",NA,"2,500",882,"15,000","25,200"
1912,298,NA,"21,000","11,700",NA,"9,600",882,"15,000","27,900"
1913,219,NA,"21,500","13,200",NA,"8,520",926,"15,300","32,200"
1914,384,NA,"15,900","12,500",NA,"3,780",904,"14,700","30,000"
1915,746,NA,"25,700","12,000",NA,"14,400",904,"14,600","39,100"
1916,833,740,"33,000","15,200",NA,"19,400",926,"13,800","45,500"
1917,365,780,"34,300","9,980",NA,"25,500",926,"11,800","46,200"
1918,400,"1,260","33,200","7,920",NA,"26,900",904,"9,760","47,600"
1919,464,"2,220","16,600","1,730",NA,"17,600",882,"8,320","23,100"
1920,331,"2,000","22,000",551,NA,"23,800",926,"7,530","35,700"
1921,101,857,"1,990",193,NA,"2,750",926,"8,420","10,400"
1922,189,"1,370","6,770","4,940",NA,"5,430",838,"8,140","11,800"
1923,91,"1,410","18,400",840,NA,"19,400",794,"7,560","31,100"
1924,173,"2,030","16,800","1,180",NA,"18,200",661,"6,300","35,300"
1925,247,"2,090","19,600","1,630",NA,"20,800",728,"6,800","37,100"
1926,293,"2,770","17,500","1,420",NA,"20,000",794,"7,280","33,900"
1927,780,"3,070","16,200",800,NA,"19,300",772,"7,220","34,500"
1928,474,"4,080","27,500",800,NA,"31,300",816,"7,770","50,300"
1929,308,"3,950","37,600","1,000",NA,"40,900",772,"7,350","56,300"
1930,279,"2,630","23,000","1,100",NA,"24,800",772,"7,570","54,200"
1931,338,"1,880","13,700",600,NA,"15,300",772,"8,270","36,300"
1932,177,"1,320","8,530",700,NA,"9,330",772,"9,190","21,800"
1933,114,"1,500","19,900",900,NA,"20,600",772,"9,670","46,300"
1934,142,"1,680","19,100","1,500",NA,"19,400",772,"9,390","71,600"
1935,145,"1,770","31,000","1,200",NA,"31,700",772,"9,190","77,400"
1936,97,"1,780","43,200","2,300",NA,"42,800",772,"9,050","93,400"
1937,199,"2,180","43,700","2,500",NA,"43,600",772,"8,740","120,000"
1938,377,"2,090","23,800","3,800",NA,"22,500",772,"8,930","115,000"
1939,357,"2,650","52,800","6,100",NA,"51,900",772,"9,050","122,000"
1940,503,"3,770","76,000","7,100",NA,"76,600",772,"8,990","140,000"
1941,599,"4,820","96,300","4,100",NA,"94,400",772,"8,560","162,000"
1942,555,"3,760","104,000","5,000",NA,"103,000",705,"7,050","158,000"
1943,582,"6,270","111,000","6,800","8,160","109,000",705,"6,650","167,000"
1944,896,"3,920","107,000","5,900","12,000","120,000",705,"6,530","157,000"
1945,"1,050","5,880","97,500","2,500","8,340","109,000",705,"6,410","145,000"
1946,319,"7,480","83,900","5,000","11,800","82,600",772,"6,430","123,000"
